epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,114.392,2.12243,3.53775,1.92454,0.31534,0.23962,0.18953,0.07241,2.13914,3.15538,1.92948,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709
2,201.444,2.06675,2.7353,1.83235,0.21033,0.24141,0.15477,0.05518,2.28522,3.01122,2.10983,0.0197835,0.00659449,0.0197835,0.00659449,0.0197835,0.00659449,0.0197835,0.00659449
3,287.821,2.16253,2.71482,1.92423,0.23828,0.17471,0.1301,0.04195,2.40963,3.1433,2.26323,0.0293876,0.00979588,0.0293876,0.00979588,0.0293876,0.00979588,0.0293876,0.00979588
4,373.416,2.19359,2.73764,1.98938,0.28675,0.19096,0.14128,0.0526,2.29628,2.90303,2.13159,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,458.872,2.13346,2.62568,1.92934,0.27527,0.23704,0.18343,0.06737,2.19537,2.71406,2.12066,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,544.031,2.07786,2.52559,1.88836,0.32583,0.25738,0.22364,0.08762,2.06867,2.54238,2.04082,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,627.942,2.04411,2.45351,1.86481,0.30866,0.2909,0.23297,0.09192,2.04883,2.44873,1.94782,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,712.613,2.00237,2.40363,1.83712,0.3456,0.31608,0.2637,0.10757,2.03364,2.37567,1.94171,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,798.088,1.97981,2.34723,1.80738,0.3519,0.35134,0.29598,0.12346,1.9947,2.26207,1.90554,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,882.82,1.96303,2.31397,1.79237,0.35151,0.34352,0.29106,0.11731,1.9858,2.32887,1.88578,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,967.234,1.95531,2.27893,1.78356,0.34366,0.34825,0.28063,0.11207,1.98801,2.28485,1.8799,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1051.04,1.93908,2.26872,1.77382,0.37339,0.35247,0.31013,0.12884,1.99622,2.18518,1.87417,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1136.35,1.92458,2.23686,1.76789,0.36347,0.37605,0.31745,0.13204,1.9426,2.17343,1.83542,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1220.6,1.91186,2.19622,1.74131,0.38538,0.38113,0.32996,0.13508,1.94896,2.17922,1.81828,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1304.88,1.89714,2.18153,1.73443,0.38991,0.39163,0.33671,0.13976,1.93949,2.12412,1.84707,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1389.65,1.89025,2.15505,1.72876,0.42491,0.40131,0.37013,0.15686,1.94098,2.09379,1.82869,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1474.14,1.88919,2.1372,1.72697,0.40694,0.39664,0.35846,0.15378,1.89787,2.07709,1.79097,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1559.5,1.87815,2.13099,1.71923,0.42159,0.40641,0.3707,0.15336,1.91198,2.08474,1.808,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
