epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2108,1.56695,7.08455,0.72247,0.01298,0.16213,0.01437,0.00424,0.99073,1.04691,0.515,0.000412234,0.000412234,0.000412234
2,110.149,0.94787,0.88649,0.35702,0.82287,0.05072,0.06128,0.02002,0.8459,1.07574,0.40458,0.000820695,0.000820695,0.000820695
3,157.884,0.85127,0.8669,0.28442,0.43791,0.21769,0.15595,0.04808,0.78198,0.8599,0.3302,0.00122091,0.00122091,0.00122091
4,205.941,0.82109,0.85067,0.27164,0.37181,0.3241,0.15625,0.04942,0.75511,0.9155,0.3149,0.00121287,0.00121287,0.00121287
5,254.071,0.80066,0.85164,0.26552,0.23126,0.35994,0.21567,0.07011,0.73656,0.84195,0.3127,0.0012005,0.0012005,0.0012005
6,302.558,0.76895,0.83431,0.26103,0.28956,0.33784,0.25248,0.09192,0.72202,0.83974,0.30365,0.00118812,0.00118812,0.00118812
7,351.164,0.80862,0.72475,0.27072,0.34083,0.29885,0.29028,0.0969,0.74821,0.75092,0.31764,0.00117575,0.00117575,0.00117575
8,400.002,0.79693,0.77534,0.26782,0.39065,0.34997,0.30248,0.10412,0.75482,0.76063,0.32923,0.00116337,0.00116337,0.00116337
9,448.753,0.77208,0.72852,0.25236,0.36571,0.3446,0.26957,0.09161,0.73711,0.77895,0.33823,0.001151,0.001151,0.001151
10,497.101,0.75902,0.76542,0.24766,0.55177,0.24941,0.25198,0.09605,0.72742,0.79568,0.31024,0.00113863,0.00113863,0.00113863
11,545.402,0.78368,0.74834,0.2565,0.35571,0.32523,0.21516,0.07065,0.75179,0.82515,0.32025,0.00112625,0.00112625,0.00112625
12,593.732,0.77402,0.7333,0.24694,0.43086,0.34644,0.31624,0.10596,0.75467,0.76219,0.30281,0.00111388,0.00111388,0.00111388
13,642.627,0.75764,0.70591,0.2516,0.38607,0.32451,0.31197,0.10835,0.73042,0.76625,0.311,0.0011015,0.0011015,0.0011015
14,691.247,0.73541,0.72587,0.24114,0.27223,0.35734,0.22565,0.0798,0.7636,0.83369,0.34287,0.00108913,0.00108913,0.00108913
15,739.427,0.73742,0.72062,0.24872,0.3865,0.37018,0.34293,0.12386,0.74492,0.73173,0.31103,0.00107675,0.00107675,0.00107675
16,788.024,0.74561,0.69623,0.24242,0.34486,0.34054,0.29982,0.10638,0.73221,0.76541,0.30793,0.00106437,0.00106437,0.00106437
17,836.754,0.7054,0.72077,0.23059,0.49948,0.35716,0.37338,0.13556,0.71977,0.74698,0.30675,0.001052,0.001052,0.001052
18,885.292,0.73191,0.72181,0.23947,0.321,0.41543,0.31204,0.10432,0.75208,0.71567,0.31104,0.00103962,0.00103962,0.00103962
19,933.424,0.69744,0.71021,0.23451,0.38899,0.39948,0.33972,0.11645,0.73687,0.73513,0.30744,0.00102725,0.00102725,0.00102725
20,981.754,0.70895,0.68799,0.22109,0.49437,0.30114,0.3205,0.10958,0.73693,0.74767,0.30446,0.00101488,0.00101488,0.00101488
21,1029.94,0.70332,0.67494,0.22673,0.38535,0.42,0.34338,0.12385,0.75248,0.71995,0.32533,0.0010025,0.0010025,0.0010025
22,1078.49,0.69129,0.69432,0.23188,0.47036,0.37553,0.36872,0.12362,0.76653,0.6974,0.31535,0.000990125,0.000990125,0.000990125
23,1126.81,0.69559,0.71787,0.21814,0.46243,0.29497,0.31361,0.1062,0.78056,0.71067,0.3453,0.00097775,0.00097775,0.00097775
24,1175.08,0.68901,0.6934,0.22274,0.42144,0.37394,0.3308,0.1252,0.75344,0.72523,0.32559,0.000965375,0.000965375,0.000965375
25,1223.29,0.69321,0.67136,0.23071,0.30836,0.3825,0.2925,0.1116,0.75427,0.7096,0.34272,0.000953,0.000953,0.000953
26,1271.62,0.66388,0.70518,0.22247,0.34819,0.37036,0.30393,0.10951,0.77265,0.70164,0.34956,0.000940625,0.000940625,0.000940625
27,1319.57,0.68933,0.66439,0.22235,0.50712,0.3489,0.34722,0.11403,0.75065,0.71244,0.32557,0.00092825,0.00092825,0.00092825
28,1367.4,0.69842,0.65178,0.21877,0.34705,0.34062,0.30828,0.1006,0.7799,0.72096,0.36446,0.000915875,0.000915875,0.000915875
29,1415.41,0.67094,0.67018,0.2104,0.36555,0.36838,0.28534,0.10598,0.75431,0.74624,0.3333,0.0009035,0.0009035,0.0009035
30,1463.5,0.65292,0.64628,0.21303,0.36545,0.4014,0.31555,0.11838,0.74124,0.69801,0.33188,0.000891125,0.000891125,0.000891125
31,1511.61,0.65253,0.63284,0.20139,0.41451,0.41161,0.34936,0.13233,0.7778,0.65482,0.35529,0.00087875,0.00087875,0.00087875
32,1559.41,0.64241,0.65826,0.19629,0.41114,0.33876,0.34205,0.1218,0.78842,0.68253,0.33169,0.000866375,0.000866375,0.000866375
33,1607.22,0.65173,0.63552,0.20363,0.50214,0.42053,0.39537,0.13927,0.76785,0.67233,0.32279,0.000854,0.000854,0.000854
34,1655.45,0.63157,0.63541,0.20047,0.42211,0.41873,0.35492,0.12445,0.74931,0.73643,0.31423,0.000841625,0.000841625,0.000841625
35,1703.64,0.64423,0.62268,0.21198,0.41562,0.41489,0.36643,0.12977,0.7676,0.68593,0.324,0.00082925,0.00082925,0.00082925
36,1751.36,0.64344,0.63606,0.2013,0.42366,0.37422,0.31908,0.127,0.77873,0.71743,0.37037,0.000816875,0.000816875,0.000816875
37,1799.19,0.64005,0.63079,0.1989,0.33744,0.4284,0.33048,0.12044,0.77988,0.69112,0.35897,0.0008045,0.0008045,0.0008045
38,1846.98,0.62879,0.61997,0.19217,0.43333,0.39118,0.34962,0.12535,0.77812,0.68456,0.3552,0.000792125,0.000792125,0.000792125
39,1894.83,0.6219,0.60923,0.20236,0.38324,0.47909,0.36117,0.12782,0.78677,0.67479,0.34654,0.00077975,0.00077975,0.00077975
40,1942.88,0.60692,0.62182,0.19046,0.41085,0.41057,0.33429,0.12041,0.7872,0.69087,0.35023,0.000767375,0.000767375,0.000767375
41,1990.6,0.59742,0.62036,0.18867,0.33121,0.46658,0.33147,0.11192,0.7582,0.72978,0.3155,0.000755,0.000755,0.000755
42,2038.5,0.60512,0.61863,0.18582,0.41839,0.3326,0.3265,0.11442,0.81244,0.70724,0.35518,0.000742625,0.000742625,0.000742625
43,2086.46,0.59255,0.5998,0.17738,0.48588,0.34684,0.348,0.12011,0.80793,0.68282,0.35825,0.00073025,0.00073025,0.00073025
44,2134.42,0.56425,0.59244,0.1742,0.47412,0.36718,0.37144,0.12995,0.805,0.62656,0.35466,0.000717875,0.000717875,0.000717875
45,2182.15,0.56825,0.57211,0.17517,0.52059,0.38196,0.39586,0.12186,0.80338,0.66998,0.34698,0.0007055,0.0007055,0.0007055
46,2229.99,0.57728,0.57917,0.1771,0.43975,0.40546,0.34742,0.12386,0.80825,0.69474,0.37913,0.000693125,0.000693125,0.000693125
47,2277.92,0.55124,0.593,0.16896,0.36789,0.46303,0.35881,0.13087,0.7865,0.66969,0.34544,0.00068075,0.00068075,0.00068075
48,2325.79,0.55722,0.56055,0.17,0.34742,0.40874,0.30173,0.11497,0.81509,0.67965,0.3833,0.000668375,0.000668375,0.000668375
49,2373.87,0.57864,0.57927,0.18287,0.45571,0.38614,0.36787,0.13155,0.77287,0.67388,0.34618,0.000656,0.000656,0.000656
50,2421.63,0.55199,0.58834,0.16895,0.45763,0.3916,0.36529,0.13073,0.7968,0.68993,0.35806,0.000643625,0.000643625,0.000643625
51,2469.24,0.54162,0.56074,0.16473,0.39668,0.3903,0.34345,0.12367,0.79329,0.70079,0.34395,0.00063125,0.00063125,0.00063125
52,2516.97,0.55949,0.57105,0.1664,0.47283,0.39982,0.36911,0.14745,0.79472,0.67621,0.35712,0.000618875,0.000618875,0.000618875
53,2565.16,0.55782,0.56686,0.16938,0.61101,0.35824,0.40085,0.15,0.78705,0.71187,0.36603,0.0006065,0.0006065,0.0006065
54,2613.79,0.53085,0.54927,0.15614,0.47932,0.41932,0.39606,0.14687,0.80968,0.66216,0.37362,0.000594125,0.000594125,0.000594125
55,2661.66,0.50264,0.55428,0.15404,0.47564,0.37587,0.39831,0.14048,0.81471,0.70103,0.39109,0.00058175,0.00058175,0.00058175
56,2709.6,0.49925,0.54412,0.15134,0.49981,0.39911,0.38042,0.13705,0.81149,0.65368,0.35994,0.000569375,0.000569375,0.000569375
57,2757.43,0.5185,0.55424,0.15106,0.56901,0.36158,0.39393,0.14337,0.8027,0.6987,0.35488,0.000557,0.000557,0.000557
58,2805.44,0.51402,0.55538,0.15395,0.43033,0.42046,0.37059,0.12763,0.81977,0.72697,0.35246,0.000544625,0.000544625,0.000544625
59,2853.67,0.51103,0.54705,0.14882,0.38788,0.40347,0.34402,0.125,0.79531,0.72045,0.35631,0.00053225,0.00053225,0.00053225
60,2901.46,0.50936,0.53601,0.14845,0.40436,0.42949,0.35417,0.12424,0.83906,0.6712,0.38308,0.000519875,0.000519875,0.000519875
61,2949.36,0.49874,0.53225,0.14702,0.45799,0.50297,0.39654,0.13293,0.8234,0.68131,0.36871,0.0005075,0.0005075,0.0005075
62,2997.06,0.50124,0.52534,0.14523,0.47233,0.38631,0.34787,0.13174,0.8484,0.66938,0.38142,0.000495125,0.000495125,0.000495125
63,3044.8,0.49665,0.53338,0.14829,0.4324,0.42384,0.36634,0.1355,0.8209,0.67622,0.36707,0.00048275,0.00048275,0.00048275
64,3092.79,0.48357,0.51501,0.14102,0.39584,0.42333,0.36321,0.13394,0.82615,0.69106,0.36411,0.000470375,0.000470375,0.000470375
65,3140.56,0.49203,0.51305,0.14306,0.46857,0.39855,0.35013,0.11986,0.83875,0.67782,0.38506,0.000458,0.000458,0.000458
66,3188.3,0.48579,0.51027,0.13968,0.49983,0.44184,0.39923,0.14831,0.82453,0.67576,0.36773,0.000445625,0.000445625,0.000445625
67,3236.07,0.46242,0.52072,0.13005,0.46622,0.41617,0.39967,0.14646,0.83395,0.66024,0.38156,0.00043325,0.00043325,0.00043325
68,3283.83,0.44762,0.50814,0.13508,0.44412,0.44136,0.3642,0.12623,0.8214,0.70028,0.38186,0.000420875,0.000420875,0.000420875
69,3331.89,0.45513,0.50381,0.13855,0.51518,0.40406,0.3803,0.13814,0.81351,0.66457,0.37288,0.0004085,0.0004085,0.0004085
70,3379.64,0.4597,0.50433,0.1359,0.50969,0.38734,0.37944,0.13492,0.81105,0.67989,0.36597,0.000396125,0.000396125,0.000396125
71,3427.37,0.44933,0.50373,0.12787,0.43008,0.45962,0.38667,0.14232,0.81374,0.69024,0.37378,0.00038375,0.00038375,0.00038375
72,3475.22,0.44622,0.49567,0.12758,0.42769,0.46759,0.38633,0.14159,0.80627,0.73323,0.36998,0.000371375,0.000371375,0.000371375
73,3523.38,0.44381,0.49185,0.12798,0.43244,0.40378,0.37882,0.13684,0.81429,0.73286,0.35841,0.000359,0.000359,0.000359
